Day,"1,417","1,784","2,439",1695.9,1490,,,Day of week,Notes,,206
,FX 7.5,BB,BMC,S2016,S2017,FX 7.7,Other,,1302,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
10/5/2015,,,12.3,,,,,Monday,,150,
10/2/2015,,,21.3,,,,,Friday,,149,
10/1/2015,,,15,,,,,Thursday,,148,
9/25/2015,,,16.8,,,,,Friday,,147,
9/19/2015,,,13.3,,,,,Saturday,,146,
9/18/2015,,,16.6,,,,,Friday,,145,
9/17/2015,11.2,,,,,,,Thursday,,144,
9/15/2015,12.3,,,,,,,Tuesday,,143,
9/13/2015,,,13.5,,,,,Sunday,,142,
9/6/2015,11,,,,,,,Sunday,,141,
9/4/2015,,,13.6,,,,,Friday,,140,
9/2/2015,,,14.4,,,,,Wednesday,,139,
9/1/2015,,,11.4,,,,,Tuesday,,138,
8/31/2015,,,15.2,,,,,Monday,,137,
8/29/2015,8.6,,,,,,,Saturday,,136,
8/28/2015,11.7,,,,,,,Friday,,135,
8/26/2015,,,13,,,,,Wednesday,,134,
8/25/2015,,,15.5,,,,,Tuesday,,133,
8/24/2015,11.6,,,,,,,Monday,,132,
8/22/2015,,,16.1,,,,,Saturday,,131,
8/21/2015,,,11.1,,,,,Friday,,130,
8/20/2015,10.6,,,,,,,Thursday,,129,
8/18/2015,9.3,,,,,,,Tuesday,,128,
8/17/2015,,,13.7,,,,,Monday,,127,
8/16/2015,,,25.3,,,,,Sunday,,126,
8/14/2015,,,14.5,,,,,Friday,,125,
8/13/2015,14,,,,,,,Thursday,,124,
8/12/2015,11.3,,,,,,,Wednesday,,123,
8/10/2015,12.3,,,,,,,Monday,,122,
8/9/2015,8,,,,,,,Sunday,,121,
8/7/2015,,,16,,,,,Friday,,120,
8/6/2015,,,16.6,,,,,Thursday,,119,
8/2/2015,,,15,,,,,Sunday,,118,
7/30/2015,,,,,,,7.5,Thursday,,117,
7/27/2015,,,11.2,,,,,Monday,,116,
7/26/2015,,,8.2,,,,,Sunday,,115,
7/25/2015,,,12.2,,,,,Saturday,,114,
7/24/2015,,,12.5,,,,,Friday,,113,
7/22/2015,,,13.7,,,,,Wednesday,,112,
7/20/2015,,,16,,,,,Monday,,111,
7/18/2015,,,16.5,,,,,Saturday,Rotated BMC times 696 mi.,110,
7/17/2015,,,16.2,,,,,Friday,,109,
7/15/2015,,,16,,,,,Wednesday,,108,
7/13/2015,,,19,,,,,Monday,,107,
7/12/2015,,,14.9,,,,,Sunday,,106,
7/10/2015,,,15,,,,,Friday,,105,
7/8/2015,9.3,,,,,,,Wednesday,,104,
7/6/2015,,,11.5,,,,,Monday,,103,
7/4/2015,,,17.5,,,,,Saturday,,102,
7/3/2015,,,18.8,,,,,Friday,,101,
7/1/2015,,,23,,,,,Wednesday,,100,
6/29/2015,,,15.2,,,,,Monday,,99,
6/25/2015,,,18.9,,,,,Thursday,,98,
6/23/2015,,,14.9,,,,,Tuesday,,97,
6/21/2015,4.7,,,,,,,Sunday,,96,
6/20/2015,,,11.9,,,,,Saturday,,95,
6/18/2015,9.2,,,,,,,Thursday,,94,
6/17/2015,12.3,,,,,,,Wednesday,,93,
6/15/2015,,,19,,,,,Monday,,92,
6/14/2015,,,15.9,,,,,Sunday,,91,
6/13/2015,9.3,,,,,,,Saturday,,90,
6/11/2015,,,18,,,,,Thursday,,89,
6/7/2015,,,12.4,,,,,Sunday,,88,
6/5/2015,,,19.2,,,,,Friday,,87,
6/3/2015,,,13.6,,,,,Wednesday,,86,
6/2/2015,,,9.2,,,,,Tuesday,,85,
6/1/2015,,,19,,,,,Monday,,84,
5/31/2015,,,9.2,,,,,Sunday,,83,
5/30/2015,,,12,,,,,Saturday,,82,
5/29/2015,,,12.4,,,,,Friday,,81,
5/27/2015,11,,,,,,,Wednesday,,80,
5/25/2015,12.5,,,,,,,Monday,,79,
5/23/2015,,,10.9,,,,,Saturday,,78,
5/20/2015,,,10.2,,,,,Wednesday,,77,
5/19/2015,10.6,,,,,,,Tuesday,,76,
5/18/2015,,,15.2,,,,,Monday,,75,
5/15/2015,,,14.8,,,,,Friday,,74,
5/13/2015,19,,,,,,,Wednesday,,73,
5/12/2015,,,10.1,,,,,Tuesday,,72,
5/11/2015,,,16,,,,,Monday,,71,
5/10/2015,,,17.3,,,,,Sunday,,70,
5/8/2015,10.3,,,,,,,Friday,,69,
5/7/2015,5.6,,,,,,,Thursday,,68,
5/5/2015,,,15.5,,,,,Tuesday,,67,
5/4/2015,,,15.5,,,,,Monday,,66,
5/2/2015,,,10.3,,,,,Saturday,,65,
5/1/2015,,,11.1,,,,,Friday,,64,
4/30/2015,,,16,,,,,Thursday,,63,
4/29/2015,10.3,,,,,,,Wednesday,,62,
4/27/2015,11.3,,,,,,,Monday,,61,
4/26/2015,3,,,,,,,Sunday,,60,
4/25/2015,,,12.6,,,,,Saturday,,59,
4/24/2015,,,7.3,,,,3,Friday,,58,
4/23/2015,,,18.7,,,,,Thursday,,57,
4/22/2015,10.7,,,,,,,Wednesday,,56,
4/21/2015,,,13.3,,,,,Tuesday,,55,
4/20/2015,,,12.5,,,,,Monday,,54,
4/17/2015,,,16.1,,,,,Friday,,53,
4/16/2015,,,17.5,,,,,Thursday,,52,
4/15/2015,11.7,3,,,,,,Wednesday,,51,
4/14/2015,6.6,,,,,,,Tuesday,,50,
4/13/2015,12.7,,,,,,,Monday,,49,
4/12/2015,11.1,,,,,,,Sunday,,48,
4/10/2015,,,17.2,,,,,Friday,,47,
4/8/2015,9.3,,,,,,,Wednesday,,46,
4/6/2015,11,,,,,,,Monday,,45,
4/4/2015,,,13.5,,,,,Saturday,,44,
4/3/2015,,4,13.8,,,,,Friday,,43,
4/1/2015,,8,,,,,,Wednesday,,42,
3/31/2015,,14.9,,,,,,Tuesday,,41,
3/30/2015,11.3,,,,,,,Monday,,40,
3/28/2015,,,,,,9.6,,Saturday,,39,
3/27/2015,,,,,,15.2,,Friday,,38,
3/26/2015,,,,,,15.4,,Thursday,,37,
3/24/2015,6.8,,,,,,,Tuesday,,36,
3/23/2015,9.8,,,,,,,Monday,,35,
3/20/2015,,,,,,15.4,,Saturday,,34,
3/9/2015,14.6,,,,,,,Monday,Heart Attack,33,
3/8/2015,8.6,,,,,,,Sunday, ,32,
3/5/2015,,,,,,14.8,,Thursday,,31,
3/4/2015,,,,,,18.7,,Wednesday,,30,
3/3/2015,,,,,,16.7,,Tuesday,,29,
3/2/2015,,,,,,13.6,,Monday,,28,
3/1/2015,,,,,,15.9,,Sunday,,27,
2/27/2015,20.8,,,,,,,Friday,,26,
